category,state,jobs_retained,total_loan_amount
Parole Offices and Probation Offices,SC,4,36300.00
Deep Sea Freight Transportation,AL,4,36291.67
Plastics Material and Resin Manufacturing,PR,7,36282.00
"Copper, Nickel, Lead, and Zinc Mining",UT,2,36270.00
Confectionery Manufacturing from Purchased Chocolate,SC,16,36267.37
Parole Offices and Probation Offices,NJ,10,36250.00
Plastics Plumbing Fixture Manufacturing,KS,4,36250.00
Nonferrous Metal Die-Casting Foundries,MD,2,36244.00
Packaging and Labeling Services,WY,5,36235.00
Finfish Fishing,GA,3,36187.00
"Gasket, Packing, and Sealing Device Manufacturing",NV,2,36185.00
Window Treatment Stores,WY,5,36165.48
Reconstituted Wood Product Manufacturing,RI,1,36150.00
Fruit and Vegetable Canning,LA,8,36150.00
Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,KY,6,36100.00
Securities and Commodity Exchanges,MT,5,36100.00
Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,UT,4,36084.30
Sheep Farming,ND,5,36065.00
Passenger Car Leasing,IN,7,36060.00
Administration of Veterans' Affairs,CT,8,36050.00
Research and Development in the Social Sciences and Humanities,RI,7,36045.70
Electric Bulk Power Transmission and Control,NM,3,36040.00
Narrow Fabric Mills and Schiffli Machine Embroidery,WY,9,36036.04
Industrial Launderers,MN,10,36022.00
Poultry and Poultry Product Merchant Wholesalers,VT,2,36012.00
Port and Harbor Operations,VT,10,36000.00
Relay and Industrial Control Manufacturing,AR,3,36000.00
Courts,KS,3,36000.00
"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour",NH,5,36000.00
All Other Rubber Product Manufacturing,SD,3,36000.00
"Executive and Legislative Offices, Combined",GA,0,35986.00
"Brick, Stone, and Related Construction Material Merchant Wholesalers",DE,1,35981.00
Libraries and Archives,HI,3,35972.00
Automobile Manufacturing,OR,3,35965.00
All Other Converted Paper Product Manufacturing,NV,4,35924.00
Casino Hotels,PA,3,35917.00
Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,NE,7,35900.00
Men's and Boys' Clothing and Furnishings Merchant Wholesalers,ID,8,35895.00
Document Preparation Services,SD,7,35875.00
Political Organizations,MO,5,35872.00
Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing,ID,9,35848.62
Peanut Farming,OK,7,35842.30
Plastics Bottle Manufacturing,NC,3,35830.00
Textile Bag and Canvas Mills,KY,3,35800.00
Other Gambling Industries,AZ,1,35800.00
Directory and Mailing List Publishers,MS,3,35800.00
Automobile and Other Motor Vehicle Merchant Wholesalers,GU,15,35784.00
"Other Justice, Public Order, and Safety Activities",MS,4,35765.00
Nuclear Electric Power Generation,NC,2,35753.75
"Copper Rolling, Drawing, Extruding, and Alloying",NY,0,35733.00
Professional Employer Organizations,MP,,35731.00
Amusement Arcades,RI,10,35706.25
Executive Search Services,MS,11,35700.00
Industrial Building Construction,VI,3,35700.00
Folding Paperboard Box Manufacturing,SC,11,35700.00
Dry Pea and Bean Farming,NC,7,35700.00
International Trade Financing,IA,3,35700.00
Soap and Other Detergent Manufacturing,RI,3,35700.00
Administration of Public Health Programs,AR,2,35695.00
Automobile Driving Schools,WY,3,35695.00
Other Commercial and Service Industry Machinery Manufacturing,GU,6,35690.00
Toilet Preparation Manufacturing,MO,9,35670.00
Curtain and Linen Mills,OR,6,35662.00
Support Activities for Nonmetallic Minerals (except Fuels) Mining,WA,2,35657.00
Surface Active Agent Manufacturing,SC,2,35625.00
Administration of General Economic Programs,HI,4,35609.00
Semiconductor and Related Device Manufacturing,ID,4,35606.00
Tree Nut Farming,TN,0,35600.00
Burial Casket Manufacturing,SC,3,35600.00
Asphalt Shingle and Coating Materials Manufacturing,SC,6,35567.82
Legislative Bodies,IA,10,35560.00
Other Financial Vehicles,HI,5,35546.00
Flight Training,SD,4,35538.00
Credit Unions,KY,5,35532.50
News Dealers and Newsstands,DE,5,35517.00
Leather and Hide Tanning and Finishing,IA,3,35511.00
HMO Medical Centers,IA,6,35500.00
Apprenticeship Training,UT,3,35500.00
Postal Service,WY,5,35500.00
Petrochemical Manufacturing,UT,3,35489.00
Distilleries,CT,12,35475.00
Apprenticeship Training,DC,7,35465.00
Adhesive Manufacturing,RI,0,35405.00
Rubber Product Manufacturing for Mechanical Use,TN,2,35401.35
Wood Preservation,MN,3,35400.00
"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing",ME,4,35400.00
Ice Cream and Frozen Dessert Manufacturing,ND,9,35362.00
Logging,NV,3,35335.00
Footwear Merchant Wholesalers,NH,1,35333.00
Fish and Seafood Markets,AR,10,35330.05
Leather and Hide Tanning and Finishing,AL,7,35328.92
Other Communication and Energy Wire Manufacturing,KS,,35304.55
"Pottery, Ceramics, and Plumbing Fixture Manufacturing",SD,9,35300.00
Motor and Generator Manufacturing,ND,5,35300.00
All Other Miscellaneous General Purpose Machinery Manufacturing,HI,0,35300.00
Floriculture Production,WV,2,35300.00
All Other Nonmetallic Mineral Mining,IN,7,35291.00
Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing,AZ,1,35260.08
Other Nonscheduled Air Transportation,ND,4,35256.15
Administration of Veterans' Affairs,CO,3,35236.27
Fluid Power Pump and Motor Manufacturing,KS,4,35202.50
Musical Instrument and Supplies Stores,GU,5,35200.00
Medicinal and Botanical Manufacturing,ID,30,35200.00
"Scenic and Sightseeing Transportation, Other",NC,7,35200.00
Telephone Answering Services,MS,6,35200.00
Warehouse Clubs and Supercenters,LA,11,35147.00
Peanut Farming,NM,4,35146.25
Dairy Product (except Dried or Canned) Merchant Wholesalers,CT,5,35110.57
Metal Household Furniture Manufacturing,MD,3,35100.00
Educational Support Services,VI,15,35100.00
Locksmiths,VT,3,35100.00
Gold Ore Mining,GA,0,35100.00
"Book, Periodical, and Newspaper Merchant Wholesalers",AR,0,35100.00
Passenger Car Leasing,MO,3,35100.00
"Executive and Legislative Offices, Combined",CO,6,35057.00
Fertilizer (Mixing Only) Manufacturing,NH,3,35037.00
Labor Unions and Similar Labor Organizations,LA,4,35025.00
Welding and Soldering Equipment Manufacturing,PR,13,35007.00
Video Tape and Disc Rental,KY,3,35000.00
Pension Funds,GA,3,35000.00
Petroleum Bulk Stations and Terminals,AS,0,35000.00
Paint and Wallpaper Stores,AS,10,35000.00
"Regulation, Licensing, and Inspection of Miscellaneous Commercial Sectors",NM,3,35000.00
Rendering and Meat Byproduct Processing,FL,13,35000.00
Inland Water Passenger Transportation,MI,4,35000.00
Administration of Air and Water Resource and Solid Waste Management Programs,GU,3,35000.00
Custom Roll Forming,LA,5,35000.00
Heavy Duty Truck Manufacturing,LA,2,35000.00
Noncurrent-Carrying Wiring Device Manufacturing,AL,0,35000.00
Document Preparation Services,DC,5,35000.00
Mixed Mode Transit Systems,TN,9,34996.17
Other Chemical and Fertilizer Mineral Mining,IA,8,34991.65
Footwear and Leather Goods Repair,VT,9,34975.00
Landscaping Services,MP,8,34946.00
Power-Driven Handtool Manufacturing,MA,3,34920.00
Line-Haul Railroads,WI,6,34910.84
Other Marine Fishing,PA,1,34910.00
Small Arms Ammunition Manufacturing,TN,2,34904.00
Other Concrete Product Manufacturing,WV,8,34900.00
Urethane and Other Foam Product (except Polystyrene) Manufacturing,HI,5,34900.00
Steel Foundries (except Investment),VA,8,34900.00
"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour",ME,4,34900.00
"Frozen Fruit, Juice, and Vegetable Manufacturing",KS,11,34900.00
Metal Household Furniture Manufacturing,IA,2,34900.00
Skiing Facilities,WV,3,34897.00
Pesticide and Other Agricultural Chemical Manufacturing,NV,8,34896.00
Folding Paperboard Box Manufacturing,AL,7,34892.00
Scheduled Freight Air Transportation,NV,4,34890.55
Offices of Lawyers,AS,5,34847.00
Poultry Processing,NE,,34812.50
National Security,ID,5,34812.24
International Trade Financing,NM,3,34800.00
Support Activities for Coal Mining,RI,,34800.00
Other Clothing Stores,VI,4,34800.00
"Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing",ID,1,34787.00
Fabricated Pipe and Pipe Fitting Manufacturing,MD,1,34785.00
Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,DC,3,34780.00
Paper Bag and Coated and Treated Paper Manufacturing,OR,4,34772.00
Hazardous Waste Treatment and Disposal,DE,6,34771.00
Asphalt Shingle and Coating Materials Manufacturing,CT,5,34762.00
Office Supplies and Stationery Stores,AS,12,34747.00
Other Urban Transit Systems,LA,5,34735.00
Poultry and Poultry Product Merchant Wholesalers,KY,6,34733.32
Amusement and Theme Parks,GU,14,34719.00
Rubber and Plastics Hoses and Belting Manufacturing,AR,4,34712.00
Welding and Soldering Equipment Manufacturing,AS,32,34701.50
"Sawmill, Woodworking, and Paper Machinery Manufacturing",IA,2,34667.00
"Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing",HI,1,34664.00
Diet and Weight Reducing Centers,RI,11,34664.00
Dairy Product (except Dried or Canned) Merchant Wholesalers,VT,5,34650.00
Industrial Machinery and Equipment Merchant Wholesalers,DC,3,34643.00
Casinos (except Casino Hotels),IN,14,34625.00
Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,VT,12,34617.00
Outdoor Power Equipment Stores,NM,8,34605.00
Other Snack Food Manufacturing,KY,5,34600.00
Armored Car Services,UT,3,34600.00
Consumer Electronics and Appliances Rental,DE,6,34600.00
Coffee and Tea Manufacturing,VI,12,34591.45
Commodity Contracts Brokerage,MD,2,34583.00
Pulp Mills,NM,7,34582.50
"Cafeterias, Grill Buffets, and Buffets",MP,16,34517.50
Farm Product Warehousing and Storage,DE,5,34515.00
Fluid Power Pump and Motor Manufacturing,ID,2,34500.00
Dry Pea and Bean Farming,CO,5,34500.00
Industrial and Personal Service Paper Merchant Wholesalers,ID,4,34500.00
Heating Equipment (except Warm Air Furnaces) Manufacturing,MS,4,34500.00
Steam and Air-Conditioning Supply,AR,4,34500.00
Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals,NV,3,34470.00
Pipeline Transportation of Refined Petroleum Products,KS,3,34425.00
Open-End Investment Funds,PR,4,34424.54
Other Lighting Equipment Manufacturing,OK,5,34400.00
Paper (except Newsprint) Mills,RI,,34400.00
Aircraft Engine and Engine Parts Manufacturing,OR,4,34400.00
Fine Arts Schools,VI,16,34387.00
Scheduled Freight Air Transportation,MN,5,34387.00
One-Hour Photofinishing,OH,10,34367.00
Commercial Banking,DC,6,34349.00
Amusement Arcades,DE,0,34308.00
Burial Casket Manufacturing,KS,8,34300.00
"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding",MN,1,34300.00
Analytical Laboratory Instrument Manufacturing,VT,2,34300.00
Sporting and Athletic Goods Manufacturing,PR,8,34300.00
Other Technical and Trade Schools,WY,5,34300.00
Metal Can Manufacturing,ID,4,34284.00
Oilseed and Grain Combination Farming,WA,7,34280.00
Recreational Goods Rental,NE,7,34269.00
Savings Institutions,IL,6,34250.00
Precision Turned Product Manufacturing,ND,4,34230.00
Footwear and Leather Goods Repair,SD,13,34217.00
Charter Bus Industry,ND,4,34200.00
Fluid Power Cylinder and Actuator Manufacturing,UT,5,34200.00
Outdoor Power Equipment Stores,MT,4,34200.00
Wood Preservation,ME,6,34200.00
Light Truck and Utility Vehicle Manufacturing,UT,3,34190.00
Computer Systems Design Services,XX,,34188.00
Nonscheduled Chartered Freight Air Transportation,OK,5,34187.50
Aircraft Manufacturing,WI,3,34187.00
Other Lighting Equipment Manufacturing,KY,4,34180.00
Crushed and Broken Limestone Mining and Quarrying,NM,0,34176.26
Telemarketing Bureaus and Other Contact Centers,IN,6,34175.00
Plastics Bag and Pouch Manufacturing,MO,8,34170.00
Marketing Research and Public Opinion Polling,WY,5,34170.00
Research and Development in the Social Sciences and Humanities,WY,6,34162.65
Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,AR,4,34152.50
Other Poultry Production,DE,8,34136.72
"Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing",DC,5,34135.00
Unlaminated Plastics Profile Shape Manufacturing,NY,2,34107.00
Racetracks,GU,7,34100.00
Fabricated Pipe and Pipe Fitting Manufacturing,ID,6,34100.00
Dog and Cat Food Manufacturing,MO,2,34100.00
Optical Instrument and Lens Manufacturing,WV,5,34072.00
"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",MS,5,34050.00
"Financial Transactions Processing, Reserve, and Clearinghouse Activities",AS,6,34036.04
Men's Clothing Stores,GU,9,34035.00
Petroleum Refineries,IL,2,34017.00
Gypsum Product Manufacturing,GA,,34001.00
All Other Leather Good and Allied Product Manufacturing,PR,10,34000.00
Inland Water Passenger Transportation,SC,2,34000.00
Credit Card Issuing,CO,4,34000.00
Electric Bulk Power Transmission and Control,TN,5,33982.50
Commercial Bakeries,SD,6,33980.00
Cutting Tool and Machine Tool Accessory Manufacturing,NH,3,33952.00
Rice Farming,IN,2,33927.00
Stationery Product Manufacturing,NJ,2,33924.00
Support Activities for Oil and Gas Operations,AS,10,33920.93
"Other Aluminum Rolling, Drawing, and Extruding",AR,6,33915.00
Reinsurance Carriers,MD,2,33907.00
"Specialized Freight (except Used Goods) Trucking, Long-Distance",PR,3,33900.00
Curtain and Linen Mills,MS,1,33890.00
Rolled Steel Shape Manufacturing,WA,3,33884.04
Other Paperboard Container Manufacturing,FL,11,33851.00
Fabric Coating Mills,PA,6,33827.00
Wheat Farming,VT,4,33823.00
Residential Property Managers,MP,8,33812.50
All Other Pipeline Transportation,OK,4,33805.00
"Copper Rolling, Drawing, Extruding, and Alloying",WI,4,33800.00
Packing and Crating,NM,6,33800.00
"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing",DE,5,33800.00
Finfish Farming and Fish Hatcheries,SD,5,33794.48
Dairy Product (except Dried or Canned) Merchant Wholesalers,UT,8,33780.00
Abrasive Product Manufacturing,LA,4,33772.50
Industrial Gas Manufacturing,DE,4,33772.00
Textile and Fabric Finishing Mills,LA,5,33762.90
Specialty (except Psychiatric and Substance Abuse) Hospitals,AK,4,33750.00
Relay and Industrial Control Manufacturing,NV,0,33739.00
Pipeline Transportation of Refined Petroleum Products,RI,,33700.00
Teleproduction and Other Postproduction Services,GU,10,33690.00
"Aluminum Sheet, Plate, and Foil Manufacturing",NJ,2,33685.00
Telemarketing Bureaus and Other Contact Centers,OR,3,33640.00
Fluid Power Pump and Motor Manufacturing,ND,0,33636.00
Farm Product Warehousing and Storage,VA,3,33633.00
Legislative Bodies,KY,3,33625.00
Cut and Sew Apparel Contractors,ID,1,33615.00
Footwear and Leather Goods Repair,MT,6,33608.87
Metal Tank (Heavy Gauge) Manufacturing,WV,4,33600.00
Hardware Manufacturing,VA,2,33600.00
All Other Basic Organic Chemical Manufacturing,ME,4,33600.00
Nonscheduled Chartered Freight Air Transportation,LA,5,33600.00
News Dealers and Newsstands,RI,7,33600.00
Computer Training,MS,4,33600.00
Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,NM,2,33600.00
Other Paperboard Container Manufacturing,OK,3,33600.00
Tire Manufacturing (except Retreading),OR,4,33600.00
Parole Offices and Probation Offices,AZ,3,33600.00
Poultry Processing,KY,5,33576.41
Ship Building and Repairing,PR,15,33572.00
Advertising Material Distribution Services,MT,4,33561.22
Oilseed and Grain Combination Farming,AL,2,33560.42
Other Communication and Energy Wire Manufacturing,NH,5,33526.42
Aircraft Engine and Engine Parts Manufacturing,GA,11,33523.00
Satellite Telecommunications,NV,1,33505.00
Spice and Extract Manufacturing,PR,9,33500.00
Semiconductor Machinery Manufacturing,WA,0,33500.00
"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers",WY,6,33500.00
"Fiber, Yarn, and Thread Mills",NJ,10,33500.00
Parking Lots and Garages,VI,11,33499.02
Office Supplies (except Paper) Manufacturing,NV,2,33499.00
Other Motion Picture and Video Industries,IA,2,33497.00
Residential Electric Lighting Fixture Manufacturing,SD,3,33495.00
Other Nonscheduled Air Transportation,GU,,33493.00
Third Party Administration of Insurance and Pension Funds,PR,5,33469.29
Vending Machine Operators,DE,0,33449.00
"Frozen Fruit, Juice, and Vegetable Manufacturing",IL,6,33436.00
"Women’s, Girls’, and Infants’ Cut and Sew Apparel Manufacturing",SD,5,33425.00
Switchgear and Switchboard Apparatus Manufacturing,NV,50,33400.00
Video Tape and Disc Rental,ND,12,33400.00
Recreational Vehicle Dealers,GU,6,33385.00
Farm Management Services,WV,2,33370.45
Convention and Visitors Bureaus,MT,7,33370.00
Confectionery Manufacturing from Purchased Chocolate,MO,5,33368.94
Cotton Ginning,IL,6,33337.00
"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing",WA,4,33324.00
Offices of Bank Holding Companies,OH,6,33320.00
Warehouse Clubs and Supercenters,OR,6,33300.00
"Other Justice, Public Order, and Safety Activities",GA,7,33300.00
Telephone Answering Services,IA,7,33300.00
Crude Petroleum Extraction ,ID,2,33300.00
Legislative Bodies,NV,2,33300.00
All Other Insurance Related Activities,DC,0,33300.00
Motion Picture and Video Distribution,PR,5,33300.00
Breakfast Cereal Manufacturing,VA,0,33300.00
Industrial Launderers,NH,7,33300.00
Other Cut and Sew Apparel Manufacturing,NE,,33297.50
Administration of Air and Water Resource and Solid Waste Management Programs,MD,5,33274.18
Footwear Manufacturing,OR,3,33272.77
Burial Casket Manufacturing,RI,2,33255.00
Power-Driven Handtool Manufacturing,VT,4,33245.00
Hosiery and Sock Mills,KY,14,33244.00
Investigation Services,XX,12,33233.00
Asphalt Paving Mixture and Block Manufacturing,WY,1,33210.00
Steel Investment Foundries,MI,2,33208.00
Paper (except Newsprint) Mills,IN,5,33200.00
Asphalt Shingle and Coating Materials Manufacturing,IN,7,33200.00
Manufactured (Mobile) Home Dealers,NV,135,33200.00
Dimension Stone Mining and Quarrying,NJ,3,33195.00
Plastics Materials and Basic Forms and Shapes Merchant Wholesalers,SC,4,33171.00
